Sensor Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading,Aggregated Method,Number of records,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude,Raw ID
PER_AIRMON_MESH1907150,NO2,ugm -3,2025-06-15 14:45:00,12.72008,False,Median,6,POINT (-1.550289 54.980095),27.6000003814697,2.0,aq_mesh_api,False,-1.550289,54.980095,79150
PER_TTN_AIRQUALITY006,NO2,ugm -3,2025-06-15 14:45:00,128.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80139
PER_AIRMON_MESH1971150,NO2,ugm -3,2025-06-15 14:45:00,7.100759999999999,False,Median,6,POINT (-1.583791 54.991159),45.5499992370605,2.0,aq_mesh_api,False,-1.583791,54.991159,79207
PER_TTN_AIRQUALITY007,NO2,ugm -3,2025-06-15 14:45:00,70.0,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80140
PER_AIRMON_MESH1970150,NO2,ugm -3,2025-06-15 14:45:00,10.9228,False,Median,6,POINT (-1.576209 54.984303),42.3499984741211,2.0,aq_mesh_api,False,-1.576209,54.984303,79206
PER_AIRMON_MESH1968150,NO2,ugm -3,2025-06-15 14:45:00,22.9454,False,Median,6,POINT (-1.614848 54.97149),42.0400009155273,2.0,aq_mesh_api,False,-1.614848,54.97149,79204
PER_TTN_AIRQUALITY008,NO2,ugm -3,2025-06-15 14:45:00,81.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80141
PER_AIRMON_MESH1966150,NO2,ugm -3,2025-06-15 14:45:00,17.213279999999997,False,Median,6,POINT (-1.690413 54.957331),3.80999994277954,2.0,aq_mesh_api,False,-1.690413,54.957331,79202
PER_AIRMON_MESH1965150,NO2,ugm -3,2025-06-15 14:45:00,26.65276,False,Median,6,POINT (-1.468363 55.015287),58.0,2.0,aq_mesh_api,False,-1.468363,55.015287,79201
PER_TTN_AIRQUALITY009,NO2,ugm -3,2025-06-15 14:45:00,65.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80142
PER_AIRMON_MESH1957150,NO2,ugm -3,2025-06-15 14:45:00,46.12956,False,Median,6,POINT (-1.704298 55.000748),115.569999694824,2.0,aq_mesh_api,False,-1.704298,55.000748,79194
PER_TTN_AIRQUALITY004,NO2,ugm -3,2025-06-15 14:45:00,66.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80137
PER_AIRMON_MESH1922150,NO2,ugm -3,2025-06-15 14:45:00,12.3704,False,Median,6,POINT (-1.609327 54.991308),56.8699989318848,2.0,aq_mesh_api,False,-1.609327,54.991308,79165
PER_AIRMON_MESH1915150,NO2,ugm -3,2025-06-15 14:45:00,53.16922,False,Median,6,POINT (-1.718833 54.995352),107.669998168945,2.0,aq_mesh_api,False,-1.718833,54.995352,79158
PER_AIRMON_MESH1921150,NO2,ugm -3,2025-06-15 14:45:00,10.3494,False,Median,6,POINT (-1.614127 54.972662),42.5299987792969,2.0,aq_mesh_api,False,-1.614127,54.972662,79164
PER_TTN_AIRQUALITY012,NO2,ugm -3,2025-06-15 14:45:00,100.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80159
PER_TTN_AIRQUALITY005,NO2,ugm -3,2025-06-15 14:45:00,68.0,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80138
PER_AIRMON_MESH1919150,NO2,ugm -3,2025-06-15 14:45:00,15.698,False,Median,6,POINT (-1.59605 54.902785),19.0300006866455,2.0,aq_mesh_api,False,-1.59605,54.902785,79162
PER_AIRMON_MESH1916150,NO2,ugm -3,2025-06-15 14:45:00,15.4912,False,Median,6,POINT (-1.590481 55.007634),59.810001373291,2.0,aq_mesh_api,False,-1.590481,55.007634,79159
PER_AIRMON_MESH1921150,NO2,ugm -3,2025-06-15 15:00:00,14.344399999999998,False,Median,15,POINT (-1.614127 54.972662),42.5299987792969,2.0,aq_mesh_api,False,-1.614127,54.972662,79164
PER_AIRMON_MONITOR1048100,NO2,ugm -3,2025-06-15 15:00:00,14.56812,False,Median,1,POINT (-1.558751 54.996488),39.0400009155273,2.0,aq_mesh_api,False,-1.558751,54.996488,79184
PER_TTN_AIRQUALITY006,NO2,ugm -3,2025-06-15 15:00:00,112.5,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80139
PER_AIRMON_MESH303245,NO2,ugm -3,2025-06-15 15:00:00,-9.494,True,Median,1,POINT (-1.710484 54.991435),111.110000610352,2.0,aq_mesh_api,False,-1.710484,54.991435,79515
