Sensor Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading,Aggregated Method,Number of records,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude,Raw ID
PER_AIRMON_MESH1915150,PM2.5,ugm -3,2025-06-15 14:45:00,0.0,True,Median,3,POINT (-1.718833 54.995352),107.669998168945,2.0,aq_mesh_api,False,-1.718833,54.995352,79158
PER_AIRMON_MESH1922150,PM2.5,ugm -3,2025-06-15 14:45:00,28.047,False,Median,6,POINT (-1.609327 54.991308),56.8699989318848,2.0,aq_mesh_api,False,-1.609327,54.991308,79165
PER_AIRMON_MESH1965150,PM2.5,ugm -3,2025-06-15 14:45:00,5.413,False,Median,6,POINT (-1.468363 55.015287),58.0,2.0,aq_mesh_api,False,-1.468363,55.015287,79201
PER_TTN_AIRQUALITY006,PM2.5,ugm -3,2025-06-15 14:45:00,1.09,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80139
PER_TTN_AIRQUALITY007,PM2.5,ugm -3,2025-06-15 14:45:00,0.922,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80140
PER_TTN_AIRQUALITY012,PM2.5,ugm -3,2025-06-15 14:45:00,1.93,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80159
PER_AIRMON_MESH1907150,PM2.5,ugm -3,2025-06-15 14:45:00,8.3625,False,Median,6,POINT (-1.550289 54.980095),27.6000003814697,2.0,aq_mesh_api,False,-1.550289,54.980095,79150
PER_TTN_AIRQUALITY008,PM2.5,ugm -3,2025-06-15 14:45:00,1.816,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80141
PER_AIRMON_MESH1921150,PM2.5,ugm -3,2025-06-15 14:45:00,2.19,False,Median,6,POINT (-1.614127 54.972662),42.5299987792969,2.0,aq_mesh_api,False,-1.614127,54.972662,79164
PER_AIRMON_MESH1916150,PM2.5,ugm -3,2025-06-15 14:45:00,1.451,False,Median,6,POINT (-1.590481 55.007634),59.810001373291,2.0,aq_mesh_api,False,-1.590481,55.007634,79159
PER_AIRMON_MESH1971150,PM2.5,ugm -3,2025-06-15 14:45:00,-0.0455,True,Median,6,POINT (-1.583791 54.991159),45.5499992370605,2.0,aq_mesh_api,False,-1.583791,54.991159,79207
PER_TTN_AIRQUALITY004,PM2.5,ugm -3,2025-06-15 14:45:00,1.891,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80137
PER_AIRMON_MESH1957150,PM2.5,ugm -3,2025-06-15 14:45:00,-0.2925,True,Median,6,POINT (-1.704298 55.000748),115.569999694824,2.0,aq_mesh_api,False,-1.704298,55.000748,79194
PER_TTN_AIRQUALITY005,PM2.5,ugm -3,2025-06-15 14:45:00,2.064,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80138
PER_AIRMON_MESH1919150,PM2.5,ugm -3,2025-06-15 14:45:00,0.045,False,Median,6,POINT (-1.59605 54.902785),19.0300006866455,2.0,aq_mesh_api,False,-1.59605,54.902785,79162
PER_AIRMON_MESH1968150,PM2.5,ugm -3,2025-06-15 14:45:00,4.417,False,Median,6,POINT (-1.614848 54.97149),42.0400009155273,2.0,aq_mesh_api,False,-1.614848,54.97149,79204
PER_AIRMON_MESH1970150,PM2.5,ugm -3,2025-06-15 14:45:00,10.0755,False,Median,6,POINT (-1.576209 54.984303),42.3499984741211,2.0,aq_mesh_api,False,-1.576209,54.984303,79206
PER_TTN_AIRQUALITY009,PM2.5,ugm -3,2025-06-15 14:45:00,1.975,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80142
PER_AIRMON_MESH1966150,PM2.5,ugm -3,2025-06-15 14:45:00,0.02,False,Median,6,POINT (-1.690413 54.957331),3.80999994277954,2.0,aq_mesh_api,False,-1.690413,54.957331,79202
PER_AIRMON_MONITOR1135100,PM2.5,ugm -3,2025-06-15 15:00:00,2.255,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,aq_mesh_api,False,-1.617676,54.979118,79525
PER_AIRMON_MONITOR1056100,PM2.5,ugm -3,2025-06-15 15:00:00,2.136,False,Median,1,POINT (-1.60341 54.96565),31.4099998474121,2.0,aq_mesh_api,False,-1.60341,54.96565,79191
PER_TTN_AIRQUALITY008,PM2.5,ugm -3,2025-06-15 15:00:00,1.1515,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80141
PER_AIRMON_MESH303245,PM2.5,ugm -3,2025-06-15 15:00:00,0.734,False,Median,1,POINT (-1.710484 54.991435),111.110000610352,2.0,aq_mesh_api,False,-1.710484,54.991435,79515
PER_TTN_AIRQUALITY006,PM2.5,ugm -3,2025-06-15 15:00:00,0.8520000000000001,False,Median,2,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80139
PER_AIRMON_MONITOR914,PM2.5,ugm -3,2025-06-15 15:00:00,2.291,False,Median,1,POINT (-1.619756 55.006886),62.5900001525879,2.0,aq_mesh_api,False,-1.619756,55.006886,1726
PER_AIRMON_MESH1968150,PM2.5,ugm -3,2025-06-15 15:00:00,4.47,False,Median,15,POINT (-1.614848 54.97149),42.0400009155273,2.0,aq_mesh_api,False,-1.614848,54.97149,79204
PER_AIRMON_MONITOR1156100,PM2.5,ugm -3,2025-06-15 15:00:00,1.962,False,Median,1,POINT (-1.585004 54.912211),82.3000030517578,2.0,aq_mesh_api,False,-1.585004,54.912211,79564
PER_AIRMON_MESH1919150,PM2.5,ugm -3,2025-06-15 15:00:00,0.03,True,Median,14,POINT (-1.59605 54.902785),19.0300006866455,2.0,aq_mesh_api,False,-1.59605,54.902785,79162
PER_AIRMON_MONITOR1157100,PM2.5,ugm -3,2025-06-15 15:00:00,2.156,False,Median,1,POINT (-1.623043 54.970093),45.2700004577637,2.0,aq_mesh_api,False,-1.623043,54.970093,79565
PER_AIRMON_MONITOR1048100,PM2.5,ugm -3,2025-06-15 15:00:00,3.119,False,Median,1,POINT (-1.558751 54.996488),39.0400009155273,2.0,aq_mesh_api,False,-1.558751,54.996488,79184
PER_AIRMON_MESH306245,PM2.5,ugm -3,2025-06-15 15:00:00,2.26,False,Median,1,POINT (-1.648605 54.977836),111.389999389648,2.0,aq_mesh_api,False,-1.648605,54.977836,79521
PER_AIRMON_MESH1921150,PM2.5,ugm -3,2025-06-15 15:00:00,1.51,False,Median,15,POINT (-1.614127 54.972662),42.5299987792969,2.0,aq_mesh_api,False,-1.614127,54.972662,79164
PER_AIRMON_MESH1907150,PM2.5,ugm -3,2025-06-15 15:00:00,8.339,False,Median,15,POINT (-1.550289 54.980095),27.6000003814697,2.0,aq_mesh_api,False,-1.550289,54.980095,79150
PER_AIRMON_MESH1971150,PM2.5,ugm -3,2025-06-15 15:00:00,-0.042,True,Median,15,POINT (-1.583791 54.991159),45.5499992370605,2.0,aq_mesh_api,False,-1.583791,54.991159,79207
PER_TTN_AIRQUALITY012,PM2.5,ugm -3,2025-06-15 15:00:00,1.6,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80159
PER_TTN_AIRQUALITY009,PM2.5,ugm -3,2025-06-15 15:00:00,1.81,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80142
PER_AIRMON_MESH307245,PM2.5,ugm -3,2025-06-15 15:00:00,1.98,False,Median,1,POINT (-1.624621 55.007407),66.1900024414062,2.0,aq_mesh_api,False,-1.624621,55.007407,79522
PER_TTN_AIRQUALITY004,PM2.5,ugm -3,2025-06-15 15:00:00,1.909,False,Median,1,POINT (-1.617676 54.979118),57.6699981689453,2.0,Lorawan,False,-1.617676,54.979118,80137
PER_AIRMON_MESH1970150,PM2.5,ugm -3,2025-06-15 15:00:00,10.958,False,Median,15,POINT (-1.576209 54.984303),42.3499984741211,2.0,aq_mesh_api,False,-1.576209,54.984303,79206
PER_AIRMON_MESH1916150,PM2.5,ugm -3,2025-06-15 15:00:00,1.389,False,Median,15,POINT (-1.590481 55.007634),59.810001373291,2.0,aq_mesh_api,False,-1.590481,55.007634,79159
PER_AIRMON_MESH1957150,PM2.5,ugm -3,2025-06-15 15:00:00,-0.302,True,Median,15,POINT (-1.704298 55.000748),115.569999694824,2.0,aq_mesh_api,False,-1.704298,55.000748,79194
